,email,tdm_url,time_stamp,mine_method,doi
0,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ddtec.2014.03.009
1,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11837-018-2752-0
2,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ocemod.2015.12.007
3,cox.net, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s13752-016-0244-4
4,amc.uva.nl,http://link.springer.com/article/10.1007/s11764-018-0690-z/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s11764-018-0690-z
5,northumbria.ac.uk,http://link.springer.com/article/10.1007/s00170-017-1216-y/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s00170-017-1216-y
6,aok.pte.hu,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Felps.201800378,2019-01-03 18:07:39,Wiley PDF,10.1002/elps.201800378
7,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.prevetmed.2018.09.010
8,mentalhealth.org.uk,https://api.elsevier.com/content/article/PII:S0165032718301381?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jad.2018.05.010
9,biofilm.montana.edu, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00253-017-8724-4
10,student.bham.ac.uk,https://api.elsevier.com/content/article/PII:S0272884218318078?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ceramint.2018.07.079
11,cam.ac.uk,http://link.springer.com/article/10.1007/s10708-016-9719-x/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s10708-016-9719-x
12,gmail.com,http://link.springer.com/article/10.1007/s13146-017-0399-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s13146-017-0399-5
13,uni-koeln.de, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1042/bst20170265
14,icddrb.org,https://api.elsevier.com/content/article/PII:S1473309918301087?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/s1473-3099(18)30108-7
15,hc-sc.gc.ca, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00204-016-1891-8
16,rmit.edu.au,https://api.elsevier.com/content/article/PII:S0168192317302496?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.agrformet.2017.07.027
17,nasa.gov,http://link.springer.com/article/10.1007/s11214-018-0559-5/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s11214-018-0559-5
18,imperial.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/brain/awx354
19,medicine.tamhsc.edu,https://api.elsevier.com/content/article/PII:S0896841117301555?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jaut.2017.09.002
20,126.com,https://api.elsevier.com/content/article/PII:S0022510X16305731?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jns.2016.09.024
21,wip.pcz.pl,http://link.springer.com/article/10.1007/s12598-017-0917-6/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s12598-017-0917-6
22,ing.uc3m.es, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s10494-017-9869-z
23,wur.nl,https://api.elsevier.com/content/article/PII:S0043135418304846?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.watres.2018.06.034
24,greenwich.ac.uk,https://api.elsevier.com/content/article/PII:S0981942816301917?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.plaphy.2016.05.021
25,leeds.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1111/bju.14368
26,liv.ac.uk,https://api.elsevier.com/content/article/PII:S030442031500064X?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.marchem.2015.03.010
27,ucar.edu,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F2016GL071892,2019-01-14 09:48:52,Wiley PDF,10.1002/2016gl071892
28,agh.edu.pl,http://link.springer.com/article/10.1007/s11784-016-0288-x/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11784-016-0288-x
29,nii.ac.jp,https://api.elsevier.com/content/article/PII:S0303264717300692?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.biosystems.2017.07.007
30,gmail.com,https://api.elsevier.com/content/article/PII:S0378779615000693?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.epsr.2015.03.009
31,imbe.fr,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fnph.15502,2019-01-03 18:07:39,Wiley PDF,10.1111/nph.15502
32,bris.ac.uk,http://link.springer.com/article/10.1007/s10649-018-9815-6/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s10649-018-9815-6
33,uva.nl,http://link.springer.com/article/10.1007/s11005-016-0928-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11005-016-0928-5
34,rhul.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00248-018-1160-x
35,ec.europa.eu,http://link.springer.com/article/10.1007/s11187-018-0017-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11187-018-0017-5
36,research.fchampalimaud.org, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/cercor/bhx359
37,strath.ac.uk,https://api.elsevier.com/content/article/PII:S1549963415000957?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.nano.2015.04.006
38,stjude.org,https://api.elsevier.com/content/article/PII:S0969212617301314?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.str.2017.04.013
39,wp.pl,http://link.springer.com/article/10.1007/s00190-018-1216-1/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s00190-018-1216-1
40,houstonmethodist.org,https://api.elsevier.com/content/article/PII:S0161642017317840?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ophtha.2017.09.001
41,tin.it,https://api.elsevier.com/content/article/PII:S1547527116307548?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.hrthm.2016.09.008
42,icloud.com,https://www.tandfonline.com/doi/pdf/10.1080/09654313.2018.1425376,2019-01-12 15:11:32,Informa TDM,10.1080/09654313.2018.1425376
