,email,tdm_url,time_stamp,mine_method,doi,recall,precision,comment,host,domain,suffix,grid_id,name,link,relationship_type,related_grid_id
0,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.484678.1
1,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.461839.1
2,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.10420.37
3,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.411450.5
4,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.488544.1
5,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.488389.6
6,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Related,grid.411904.9
7,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.22937.3d,Medical University of Vienna,http://www.meduniwien.ac.at/homepage/1/homepage/,Child,grid.476556.3
8,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.454395.a,Ludwig Boltzmann Cluster for Cardiovascular Research,http://www.meduniwien.ac.at/cvd/StartseiteLBG.htm,Parent,grid.419350.a
9,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ddtec.2014.03.009,True,True,,meduniwien.ac.at,meduniwien,ac.at,grid.476556.3,"Universitätsklinik für Hals-, Nasen- und Ohrenkrankheiten",https://www.meduniwien.ac.at/hno/,Parent,grid.22937.3d
10,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423218.e,Bruker (Germany),https://www.bruker.com/,Parent,grid.423270.0
11,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.461847.8
12,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.481598.9
13,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.423218.e
14,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.473958.4
15,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.481597.6
16,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.423270.0,Bruker (United States),https://www.bruker.com/,Child,grid.432720.0
17,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.461847.8,Bruker (Canada),https://www.bruker.com,Parent,grid.423270.0
18,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.473958.4,Bruker (Israel),https://www.bruker.com/,Parent,grid.423270.0
19,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.481597.6,Bruker (Switzerland),https://www.bruker.com/,Parent,grid.423270.0
20,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s11837-018-2752-0,True,True,,bruker.com,bruker,com,grid.481598.9,Bruker (France),https://www.bruker.com/fr/about-us/offices/bruker-biospin.html,Parent,grid.423270.0
21,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.414029.a
22,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.488511.1
23,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.410436.4
24,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.410404.5
25,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.416636.0
26,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.415835.e
27,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Related,grid.433851.8
28,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.5288.7,Oregon Health & Science University,http://www.ohsu.edu/xd/,Child,grid.471405.3
29,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.410436.4,Oregon National Primate Research Center,http://www.ohsu.edu/xd/research/centers-institutes/onprc/,Related,grid.5288.7
30,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.414029.a,Doernbecher Children's Hospital,http://www.ohsu.edu/xd/health/services/doernbecher/index.cfm,Related,grid.5288.7
31,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.433851.8,Vollum Institute,http://www.ohsu.edu/xd/research/centers-institutes/vollum/,Related,grid.5288.7
32,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.471405.3,Oregon Health & Science University School of Medicine,http://www.ohsu.edu/xd/education/schools/school-of-medicine/,Parent,grid.5288.7
33,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.ocemod.2015.12.007,True,True,,ohsu.edu,ohsu,edu,grid.488511.1,Oregon Health and Science University Hospital,http://www.ohsu.edu/xd/health/ohsu-near-you/portland/marquam-hill/ohsu-hospital.cfm,Related,grid.5288.7
34,cox.net, ,2018-12-16 12:29:19 UTC,PMC OAI (NIH),10.1007/s13752-016-0244-4,True,True,,,,,,,,,
35,amc.uva.nl,http://link.springer.com/article/10.1007/s11764-018-0690-z/fulltext.html,2019-01-04 14:40:57 UTC,Springer HTML,10.1007/s11764-018-0690-z,True,True,,amc.uva.nl,uva,nl,grid.7177.6,University of Amsterdam,http://www.uva.nl/en/home,Related,grid.5650.6
36,amc.uva.nl,http://link.springer.com/article/10.1007/s11764-018-0690-z/fulltext.html,2019-01-04 14:40:57 UTC,Springer HTML,10.1007/s11764-018-0690-z,True,True,,amc.uva.nl,uva,nl,grid.7177.6,University of Amsterdam,http://www.uva.nl/en/home,Child,grid.491159.1
37,amc.uva.nl,http://link.springer.com/article/10.1007/s11764-018-0690-z/fulltext.html,2019-01-04 14:40:57 UTC,Springer HTML,10.1007/s11764-018-0690-z,True,True,,amc.uva.nl,uva,nl,grid.7177.6,University of Amsterdam,http://www.uva.nl/en/home,Child,grid.484519.5
38,northumbria.ac.uk,http://link.springer.com/article/10.1007/s00170-017-1216-y/fulltext.html,2018-12-18 08:00:29 UTC,Springer HTML,10.1007/s00170-017-1216-y,True,True,,,,,,,,,
39,aok.pte.hu,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Felps.201800378,2019-01-03 18:07:39 UTC,Wiley PDF,10.1002/elps.201800378,True,True,,,,,,,,,
40,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Related,grid.418716.d
41,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Related,grid.496757.e
42,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Related,grid.416425.0
43,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Related,grid.417068.c
44,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Child,grid.470885.6
45,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12 UTC,Elsevier XML,10.1016/j.prevetmed.2018.09.010,False,True,second adress,ed.ac.uk,ed,ac.uk,grid.4305.2,University of Edinburgh,http://www.ed.ac.uk/home,Child,grid.500367.7
